"Source:","C:\Users\Daniel He\Desktop\NixieController\Design\PowerSupply\PowerSupply.sch"
"Date:","7/17/2020 9:38:10 PM"
"Tool:","Eeschema (5.1.5-131-g305ed0b65)-1"
"Component Count:","14"
"Ref","Value","Footprint","Datasheet","Manufacturer","Digikey Part #"
"C1","100uF,Low ESR","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","TPSD107M020R0150","AVX","	478-TPSD107M020R0150DKR-ND"
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","CL21F104ZBCNNNC","SAMSUNG","1276-1007-6-ND"
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","CL21F104ZBCNNNC","SAMSUNG","1276-1007-6-ND"
"C4","10uF,250V","Capacitor_SMD:CP_Elec_10x10","EEV-EB2E100Q","PANASONIC","PCE3432DKR-ND"
"D1","300V, 2A, Fast Trr","Diode_SMD:D_SMB","ES2F-E3/52T","VISHAY","ES2F-E3/52TGIDKR-ND"
"J1","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","KLDX-0202-A","KYCON","2092-KLDX-0202-A-ND"
"J2","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"L1","100uH,2A","Inductor_SMD:L_12x12mm_H4.5mm","DR125-101-R","EATON","513-1526-6-ND"
"Q1","IRF644","Package_TO_SOT_SMD:TO-263-2","IRF644STRLPBF","VISHAY","IRF644STRLPBFDKR-ND"
"R1","0.05,1W","Resistor_SMD:R_2512_6332Metric","PE2512FKE070R05L","YAGEO","YAG2156DKR-ND"
"R2","1M2,250V","Resistor_SMD:R_1206_3216Metric","RC1206JR-071M2L","YAGEO","311-1.2MERDKR-ND"
"R3","10K","Resistor_SMD:R_0805_2012Metric","RC0805JR-0710KL","YAGEO","311-10KARDKR-ND"
"RV1","10K","Potentiometer_THT:Potentiometer_Bourns_3339P_Vertical","3362P-1-502LF","BOURNS","3362P-502LF-ND"
"U1","MAX1771","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","MAX1771CSA+T","MAXIM","MAX1771CSA+DKR-ND"
